GaiaDR3,n_refs,refs,has_rv,classes
460148128783899648,1,Risbud2025,True,T
460255365530531328,2,"Kos2024, Risbud2025",False,T
460414279319638400,1,Risbud2025,False,T
460433486413913472,1,Risbud2025,True,T
460469770296679168,1,Risbud2025,True,T
460494646748279424,1,Risbud2025,True,T
460522306337486080,1,Risbud2025,False,T
460553127023032704,1,Risbud2025,True,T
460560132110120064,2,"Kos2024, Risbud2025",False,T
460582023562359168,2,"Kos2024, Risbud2025",True,T
460600852699205504,2,"Kos2024, Risbud2025",False,T
460605388184245376,1,Risbud2025,True,T
460607003091914752,2,"Kos2024, Risbud2025",True,T
460640709995907328,1,Risbud2025,False,T
460702557524359168,1,Kos2024,False,T
460715923462871168,1,Risbud2025,False,T
460715957822609024,1,Risbud2025,False,T
460775125293455872,2,"Kos2024, Risbud2025",True,T
460781859802082560,1,Risbud2025,True,T
460857141988523392,2,"Kos2024, Risbud2025",True,T
460870885883240704,2,"Kos2024, Risbud2025",False,T
460876555240049792,2,"Kos2024, Risbud2025",True,T
460889165264413312,2,"Kos2024, Risbud2025",True,T
460932733413644800,1,Risbud2025,False,T
460957850382232960,1,Risbud2025,False,T
461242001115862016,1,Risbud2025,True,T
461247777853630080,1,Risbud2025,True,T
461251591784264960,1,Risbud2025,True,T
461336318601162240,1,Risbud2025,True,T
461347867773255168,1,Risbud2025,True,T
461386762996935296,1,Risbud2025,True,T
461494618214468608,1,Risbud2025,False,T
461537151272054528,1,Risbud2025,False,T
461645216945356672,1,Risbud2025,True,T
461673288851842432,1,Risbud2025,True,T
461729363944460672,1,Risbud2025,True,T
461934629022345984,1,Risbud2025,True,T
461955141786562688,1,Risbud2025,True,T
463098015403957760,1,Risbud2025,False,T
463870765923034880,2,"Kos2024, Risbud2025",True,T
463872621348887808,2,"Kos2024, Risbud2025",False,T
463935259151411200,2,"Kos2024, Risbud2025",False,T
463950136917895936,2,"Kos2024, Risbud2025",True,T
463961406912033152,2,"Kos2024, Risbud2025",False,T
463973810777328640,1,Risbud2025,False,T
